Category,Dataset.title,Version,Contact.organisation,Dataset.ID,Associated.metadata.,Webpage.and.or.download,Factsheet.URL,Marine.Spatial.Planning...Policy,Education,Environmental.Impact...high.level.screening,Ecosystem.health...assessment,Ecosystem.services.and.blue.carbon
Ecological status and impact,Global Restoration Network Database,,Society for Ecological Restoration,129,FALSE,http://www.globalrestorationnetwork.org/database,,TRUE,FALSE,TRUE,TRUE,FALSE
Trade,Species+,,UN Environment World Conservation Monitoring Centre,130,TRUE,http://www.speciesplus.net,,FALSE,FALSE,TRUE,TRUE,FALSE
Biodiversity-related data portal,Ocean Data Viewer (ODV),2016,UN Environment World Conservation Monitoring Centre,131,TRUE,http://data.unep-wcmc.org,,TRUE,TRUE,TRUE,TRUE,TRUE
Biodiversity-related data portal,Knowledge Network for Biocomplexity (KNB),,"National Centre for Ecological Analysis and Synthesis, University of California",132,TRUE,https://knb.ecoinformatics.org,,TRUE,FALSE,FALSE,FALSE,FALSE
Biodiversity-related data portal,FishBase,Apr-15,FishBase Consortium,133,TRUE,http://www.fishbase.org,,FALSE,FALSE,FALSE,TRUE,FALSE
Biodiversity-related data portal,ReefBase,,The WorldFish Center,134,FALSE,http://www.reefbase.org/gis_maps/datasets.aspx,,FALSE,FALSE,FALSE,TRUE,TRUE
Biodiversity-related data portal,Map Of Life,,Yale University,135,FALSE,https://mol.org,,TRUE,TRUE,FALSE,TRUE,FALSE
Biodiversity-related data portal,Global Distribution of Sea Turtles (2010),,State of the World's Sea Turtles,136,FALSE,http://www.seaturtlestatus.org,,TRUE,FALSE,FALSE,TRUE,FALSE
Biodiversity-related data portal,Environmental Data Explorer,,UN Environment,137,FALSE,http://geodata.grid.unep.ch,,FALSE,TRUE,FALSE,TRUE,TRUE
Biodiversity-related data portal,UNEP Live,,UN Environment,138,FALSE,http://uneplive.unep.org,,FALSE,FALSE,FALSE,TRUE,TRUE
Biodiversity-related data portal,Atlas of Global Conservation,2014,The Nature Conservancy,139,TRUE,http://maps.tnc.org/globalmaps.html,,FALSE,TRUE,FALSE,TRUE,FALSE
Biodiversity-related data portal,FAO GeoNetwork,,Food and Agriculture Organization of the United Nations,140,FALSE,http://www.fao.org/geonetwork/srv/en/main.home#,,TRUE,FALSE,FALSE,FALSE,FALSE
Biodiversity-related data portal,Global Registry Of Biodiversity Repositories,,National Center for Biotechnology Information,141,FALSE,https://docs.google.com/spreadsheets/d/1IoyLuuJvmGhma-cGlmjIQKs65qq-YEXWiZNc1lZen_c/edit#gid=0,,TRUE,FALSE,FALSE,FALSE,FALSE
Biodiversity-related data portal,Mediterranean Platform On Biodiversity,,"Regional Activity Centre for Specially Protected Areas, UNEP Mediterranean Action Plan",142,FALSE,http://data.medchm.net/en/catalogue,,TRUE,TRUE,FALSE,TRUE,FALSE
Biodiversity-related data portal,Mid Atlantic Ocean Data Portal,,Mid Atlantic Regional Council of the Oceans,143,FALSE,http://portal.midatlanticocean.org/data-catalog/,,TRUE,TRUE,TRUE,TRUE,TRUE
Biodiversity-related data portal,Copernicus - Marine Environment Monitoring Service,,Mercator Ocean,144,FALSE,http://marine.copernicus.eu/services-portfolio/access-to-products/,,TRUE,FALSE,TRUE,FALSE,FALSE
Biodiversity-related data portal,Integrated Biodiversity Assessment Tool (IBAT),,Integrated Biodiversity Assessment Tool,145,TRUE,https://www.ibat-alliance.org/ibat-conservation/login,,TRUE,FALSE,TRUE,FALSE,FALSE
Biodiversity-related data portal,Living Atlas,,ESRI,146,FALSE,https://livingatlas.arcgis.com/en/#s=0,,FALSE,FALSE,FALSE,TRUE,FALSE
Biodiversity-related data portal,European Marine Spatial Platform,,European Marine Spatial Planning Platform,147,FALSE,http://msp-platform.eu/msp-practice/msp-projects,,TRUE,FALSE,FALSE,FALSE,FALSE
Biodiversity-related data portal,EMODnet broad-scale seabed habitat map for Europe (EUSeaMap),,European Marine Observation and Data Network,148,FALSE,http://www.emodnet-seabedhabitats.eu/default.aspx?page=1934,,TRUE,FALSE,FALSE,TRUE,TRUE
Biodiversity-related data portal,The Global Earth Observation System of Systems (GEOSS) Portal,,Group on Earth Observations,149,FALSE,http://www.geoportal.org/,,TRUE,FALSE,FALSE,FALSE,FALSE
Biodiversity-related data portal,Global Database of Natural Coastal Defences,,The Nature Conservancy,150,FALSE,http://www.maps.coastalresilience.org/global/#,,TRUE,FALSE,FALSE,FALSE,TRUE
Taxonomic database,Catalogue Of Life,,"Species 2000 Secretariat, Naturalis Biodiversity Center",151,TRUE,http://www.catalogueoflife.org,,FALSE,FALSE,FALSE,TRUE,FALSE
Taxonomic database,World Register of Marine Species (WoRMS),,Flanders Marine Institute,152,TRUE,http://www.marinespecies.org/,,FALSE,FALSE,FALSE,TRUE,FALSE
Taxonomic database,World Porifera Database (sponges),,Flanders Marine Institute,153,FALSE,http://www.marinespecies.org/porifera,,FALSE,FALSE,FALSE,TRUE,FALSE
Taxonomic database,Encyclopedia of Life (EoL),,Encyclopedia of Life (EOL),154,FALSE,http://eol.org/data_search,,FALSE,FALSE,FALSE,TRUE,FALSE
Taxonomic database,Mangrove Reference Database and Herbarium,,Flanders Marine Institute,155,FALSE,http://www.vliz.be/vmdcdata/mangroves,,FALSE,FALSE,FALSE,TRUE,TRUE
Taxonomic database,SeaLifeBase,Apr-15,"Sea Around Us, University of British Columbia",156,TRUE,http://www.sealifebase.org,,FALSE,FALSE,FALSE,TRUE,FALSE
Administration,Natural Earth,,Natural Earth,157,FALSE,http://www.naturalearthdata.com/,,TRUE,TRUE,FALSE,FALSE,FALSE
Administration,Global Distribution of Biological Field Stations,,Freie Universität Berlin (FU),158,FALSE,http://data.freshwaterbiodiversity.eu/tools,,TRUE,FALSE,FALSE,FALSE,FALSE
Administration,"Global Self-consistent, Hierarchical, High-resolution Geography Database",2.3.4 (March 2015),"School of Ocean and Earth Science and Technology, University of Hawaii",159,TRUE,http://www.soest.hawaii.edu/pwessel/gshhg,,TRUE,FALSE,FALSE,FALSE,FALSE
Administration,Boundaries of the Global International Waters Assessment (2003),,"Division of Early Warning and Assessment, United Nations Environment Programme",160,TRUE,http://www.unep.org/dewa/giwa/,,TRUE,FALSE,FALSE,FALSE,FALSE
Administration,Regional Seas Boundaries (unofficial),,UN Environment World Conservation Monitoring Centre,161,TRUE,http://www.unep.org/regionalseas/,http://wcmc.io/regional_seas,TRUE,FALSE,FALSE,FALSE,FALSE
Administration,"Global Distribution of Islands ""IBPoW"" (2010)",1,UN Environment World Conservation Monitoring Centre,162,TRUE,http://wcmc.io/metadata,,TRUE,FALSE,FALSE,FALSE,FALSE
Administration,Global Marine Aquarium Database (2003),1.0 (2003),UN Environment World Conservation Monitoring Centre,163,TRUE,,,FALSE,FALSE,TRUE,FALSE,FALSE
Administration,Maritime Boundaries incl. Exclusive Economic Zones,9.0 (2016),Flanders Marine Institute,164,TRUE,http://www.marineregions.org,,TRUE,FALSE,FALSE,FALSE,FALSE
Administration,Global Distribution of Regional Fishery Bodies (2010),2010,Food and Agriculture Organization of the United Nations,165,TRUE,http://www.fao.org:80/geonetwork?uuid=cc7dbf20-1b8b-11dd-8bbb-0017f293bd28,,TRUE,FALSE,FALSE,FALSE,FALSE
Administration,Global Distribution of Ports: World Port Index (2011),,National Geospatial - Intelligence Agency,166,FALSE,http://msi.nga.mil/NGAPortal/MSI.portal?_nfpb=true&_pageLabel=msi_portal_page_62&pubCode=0015,,TRUE,FALSE,TRUE,FALSE,FALSE
Administration,Global Maritime Boundaries Database (2008),,"General Dynamics Advanced Information Systems, Inc.",167,FALSE,http://www.globalgisdata.com/10974.html,,TRUE,FALSE,FALSE,FALSE,FALSE
Administration,Global Distribution of Dive Centres (2001),1.2 (June 2015),UN Environment World Conservation Monitoring Centre,168,TRUE,http://data.unep-wcmc.org/datasets/27,,FALSE,FALSE,FALSE,FALSE,TRUE
Administration,"Global Distribution of Islands ""OSM"" (2015)",2.1 (November 2015),UN Environment World Conservation Monitoring Centre,169,TRUE,,,TRUE,FALSE,FALSE,FALSE,FALSE
Administration,Statistical Areas For Fishery Purposes (2008),3,Food and Agriculture Organization of the United Nations,170,FALSE,http://www.fao.org/geonetwork/srv/en/main.home?uuid=ac02a460-da52-11dc-9d70-0017f293bd28,,TRUE,FALSE,FALSE,FALSE,FALSE
Administration,Marine Regions Data Portal,,Flanders Marine Institute,171,FALSE,http://www.marineregions.org,,TRUE,FALSE,FALSE,FALSE,FALSE
Administration,Global Administrative Areas,2.0 (January 2012),Global Administrative Areas,172,FALSE,http://www.gadm.org,,TRUE,FALSE,FALSE,FALSE,FALSE
Administration,Global distribution of spatial planning in the marine environment,1,UN Environment World Conservation Monitoring Centre,173,TRUE,,,TRUE,FALSE,TRUE,FALSE,FALSE
Administration,United Nations International Boundaries,,UN Environment Science Division,174,FALSE,,,TRUE,FALSE,FALSE,FALSE,FALSE
Administration,"Areas of Special Importance For Cetaceans of the Black Sea, Mediterranean Sea and contiguous Atlantic areas (ACCOBAMS)",,"The Agreement on the Conservation of Cetaceans of the Black Sea, Mediterranean Sea and contiguous Atlantic area",175,FALSE,,,TRUE,FALSE,TRUE,FALSE,FALSE
Administration,"Area of Competence for the Areas of Special Importance For Cetaceans of the Black Sea, Mediterranean Sea and contiguous Atlantic areas (ACCOBAMS)",,"The Agreement on the Conservation of Cetaceans of the Black Sea, Mediterranean Sea and contiguous Atlantic area",176,FALSE,,,TRUE,FALSE,FALSE,FALSE,FALSE
Administration,"Area of Competence for the Agreement on the Conservation of Small Cetaceans in the Baltic, North East Atlantic, Irish and North Seas (ASCOBANS)",,"Agreement on the Conservation of Small Cetaceans in the Baltic, North East Atlantic, Irish and North Seas",177,FALSE,,,TRUE,FALSE,FALSE,FALSE,FALSE
Administration,Extended Continental Shelf Submissions,,GRID-Arendal,178,FALSE,http://www.continentalshelf.org/onestopdatashop/6350.aspx,,TRUE,FALSE,FALSE,FALSE,FALSE
Administration,Area of Competence of the OSPAR Convention (Regions & Boundaries),,GRID-Arendal,179,FALSE,http://odims.ospar.org/odims_data_files/,,TRUE,FALSE,FALSE,FALSE,FALSE
Administration,Coastal Governance Index,,The Economist Intelligence Unit,180,FALSE,http://perspectives.eiu.com/sites/default/files/images/EIU_CGIndex_WEB%20final_0.pdf,,TRUE,FALSE,FALSE,FALSE,FALSE
